iter	Passed	Remaining
0	394	393990
1	1874	935472
2	3421	1137142
3	4950	1232679
4	6554	1304436
5	8106	1343013
6	9700	1376040
7	11419	1416060
8	13095	1441925
9	14730	1458330
10	16373	1472122
11	18366	1512145
12	20114	1527158
13	21713	1529269
14	23421	1538019
15	25055	1540883
16	26793	1549293
17	28440	1551590
18	30221	1560397
19	32000	1568002
20	33829	1577078
21	35621	1583520
22	37379	1587818
23	39179	1593314
24	40980	1598243
25	42686	1599115
26	44478	1602869
27	46285	1606775
28	48095	1610362
29	49936	1614613
30	51872	1621430
31	53692	1624199
32	55562	1628150
33	57348	1629371
34	59250	1633623
35	61076	1635495
36	62887	1636764
37	64831	1641253
38	66729	1644283
39	68590	1646174
40	70607	1651528
41	72540	1654607
42	74490	1657836
43	76412	1660225
44	78370	1663190
45	80354	1666480
46	82296	1668692
47	84183	1669646
48	86321	1675347
49	88210	1675997
50	90125	1677037
51	92066	1678444
52	94052	1680521
53	95935	1680645
54	97862	1681450
55	99682	1680370
56	99981	1654073
57	101906	1655107
58	103736	1654509
59	105572	1653971
60	107523	1655161
61	109358	1654495
62	109684	1631332
63	111544	1631337
64	113402	1631253
65	115226	1630635
66	117042	1629858
67	118908	1629746
68	120603	1627271
69	122309	1624970
70	124098	1623773
71	125738	1620634
72	127443	1618356
73	129116	1615695
74	130719	1612201
75	132334	1608913
76	134001	1606278
77	135574	1602558
78	137168	1599136
79	138840	1596664
80	140486	1593913
81	142078	1590580
82	143657	1587154
83	145380	1585344
84	145657	1567959
85	147227	1564723
86	148791	1561455
87	150457	1559288
88	152046	1556339
89	153658	1553655
90	155250	1550798
91	156791	1547468
92	158354	1544378
93	159906	1541224
94	161519	1538689
95	163058	1535470
96	164565	1531984
97	166168	1529431
98	167663	1525907
99	169310	1523791
100	170849	1520728
101	172443	1518180
102	174038	1515659
103	175558	1512503
104	177131	1509838
105	178660	1506815
106	180278	1504563
107	181872	1502134
108	183404	1499201
109	185000	1496824
110	186633	1494745
111	186935	1482134
112	188447	1479227
113	190047	1477033
114	191785	1475911
115	193860	1477352
116	195572	1475984
117	197298	1474722
118	197834	1464642
119	199555	1463410
120	201195	1461578
121	202869	1459992
122	204483	1457985
123	206168	1456478
124	207930	1455512
125	209521	1453350
126	211205	1451831
127	212972	1450873
128	214636	1449209
129	216293	1447501
130	217973	1445946
131	219593	1443990
132	221356	1442976
133	223000	1441183
134	224514	1438558
135	226165	1436816
136	227704	1434372
137	228093	1424755
138	229538	1421817
139	231301	1420853
140	232888	1418801
141	233272	1409488
142	234824	1407305
143	236388	1405198
144	237955	1403115
145	239544	1401173
146	241069	1398859
147	242743	1397416
148	244299	1395293
149	245807	1392911
150	247439	1391231
151	247785	1382379
152	248090	1373418
153	249583	1371087
154	251154	1369198
155	252697	1367155
156	253078	1358884
157	254492	1356219
158	256176	1354996
159	257611	1352457
160	259253	1351019
161	259640	1343077
162	261185	1341179
163	262652	1338884
164	264552	1338794
165	266114	1336986
166	267618	1334886
167	267958	1327034
168	269511	1325231
169	270975	1322999
170	272438	1320769
171	274426	1321075
172	276282	1320723
173	278175	1320534
174	280091	1320430
175	282009	1320317
176	283861	1319875
177	285180	1316956
178	287187	1317211
179	289111	1317064
180	291018	1316816
181	293184	1317721
182	295100	1317471
183	296990	1317090
184	298861	1316607
185	300777	1316305
186	302639	1315751
187	304423	1314849
188	306292	1314301
189	308026	1313165
190	309847	1312389
191	311702	1311746
192	313723	1311788
193	315371	1310253
194	317114	1309115
195	318765	1307588
196	320492	1306372
197	322187	1305022
198	323887	1303689
199	325624	1302497
200	327384	1301394
201	329020	1299793
202	330664	1298224
203	332363	1296870
204	332707	1290255
205	334398	1288895
206	336070	1287459
207	337738	1286004
208	339343	1284308
209	341027	1282911
210	342712	1281518
211	344350	1279944
212	344627	1273340
213	346211	1271599
214	348041	1270756
215	349154	1267299
216	350932	1266266
217	352644	1264990
218	353767	1261610
219	355498	1260403
220	357016	1258441
221	358634	1256837
222	360196	1255035
223	361720	1253102
224	363379	1251639
225	364882	1249641
226	366324	1247440
227	368147	1246533
228	369782	1244989
229	371500	1243720
230	371873	1237969
231	373686	1237031
232	375630	1236518
233	377286	1235049
234	379035	1233881
235	380777	1232687
236	382356	1230962
237	384068	1229663
238	384271	1223558
239	386011	1222370
240	387653	1220866
241	389205	1219081
242	390574	1216728
243	392553	1216271
244	394494	1215685
245	396065	1213955
246	397701	1212424
247	399301	1210784
248	401123	1209814
249	402690	1208071
250	403744	1204798
251	405918	1204869
252	407588	1203434
253	409273	1202038
254	410891	1200448
255	412576	1199051
256	414378	1197988
257	415968	1196313
258	417655	1194912
259	417968	1189602
260	419660	1188234
261	421317	1186765
262	423051	1185509
263	424859	1184456
264	426675	1183420
265	428450	1182264
266	430231	1181122
267	432070	1180132
268	434210	1179955
269	435961	1178710
270	437753	1177572
271	439686	1176809
272	441738	1176352
273	442401	1172202
274	444348	1171463
275	446310	1170755
276	448336	1170206
277	450148	1169090
278	452060	1168228
279	453954	1167311
280	455803	1166273
281	457781	1165558
282	459916	1165229
283	462092	1164994
284	463362	1162471
285	465449	1161996
286	467376	1161113
287	469284	1160175
288	471472	1159919
289	471975	1155526
290	473842	1154482
291	474161	1149680
292	476027	1148640
293	477857	1147507
294	479915	1146915
295	482071	1146547
296	483861	1145302
297	485711	1144193
298	487582	1143128
299	488407	1139617
300	490180	1138326
301	492080	1137324
302	493786	1135872
303	495527	1134496
304	497168	1132892
305	498863	1131409
306	500347	1129448
307	502008	1127889
308	503769	1126552
309	505580	1125325
310	505777	1120517
311	505970	1115730
312	506160	1110966
313	506394	1106326
314	506674	1101815
315	506886	1097185
316	507080	1092543
317	507290	1087962
318	507489	1083386
319	507684	1078828
320	507875	1074292
321	508070	1069787
322	508263	1065308
323	508456	1060853
324	508645	1056416
325	508854	1052048
326	509093	1047766
327	509311	1043466
328	509528	1039189
329	509721	1034889
330	509926	1030636
331	510137	1026421
332	510335	1022203
333	510524	1017992
334	510728	1013834
335	510949	1009732
336	511178	1005671
337	511380	1001579
338	511610	997564
339	511858	993607
340	512088	989637
341	512393	985832
342	512741	982130
343	512940	978165
344	513133	974209
345	513382	970381
346	513604	966523
347	513802	962640
348	514002	958783
349	514200	954943
350	514402	951132
351	514595	947324
352	514786	943533
353	514979	939764
354	515187	936044
355	515381	932319
356	515590	928640
357	515835	925044
358	516070	921452
359	516311	917887
360	516515	914274
361	516719	910682
362	516919	907101
363	517107	903517
364	517315	899986
365	517511	896454
366	517707	892940
367	517904	889444
368	518214	886160
369	518433	882738
370	518686	879390
371	518916	876021
372	519134	872646
373	519351	869288
374	519550	865917
375	519744	862553
376	519947	859223
377	520148	855905
378	520408	852701
379	520628	849446
380	520854	846218
381	521055	842964
382	521242	839703
383	521447	836489
384	521642	833273
385	521835	830070
386	522048	826913
387	522520	824181
388	522770	821112
389	522968	817976
390	523169	814859
391	523390	811788
392	523593	808705
393	523802	805645
394	524000	802582
395	525639	801732
396	527459	801154
397	529143	800363
398	530881	799648
399	532727	799091
400	534470	798373
401	536193	797621
402	537832	796739
403	539562	795987
404	540866	794606
405	543008	794450
406	544819	793803
407	546711	793267
408	547814	791584
409	549074	790131
410	549507	787493
411	551178	786633
412	552788	785681
413	554617	785038
414	554922	782240
415	556510	781254
416	558178	780379
417	559866	779527
418	561741	778930
419	563721	778472
420	565443	777653
421	567237	776926
422	568979	776125
423	570902	775566
424	572650	774761
425	573764	773099
426	575191	771861
427	577377	771635
428	579335	771097
429	581265	770514
430	583162	769883
431	585284	769540
432	587187	768903
433	589147	768335
434	590989	767606
435	592156	766001
436	593803	765014
437	595833	764517
438	597429	763458
439	599519	763025
440	601388	762303
441	602484	760603
442	603693	759045
443	604897	757484
444	606280	756147
445	607469	754569
446	608795	753163
447	610001	751609
448	611291	750159
449	612625	748764
450	613867	747258
451	615280	745960
452	616964	744988
453	618409	743725
454	619700	742278
455	620970	740806
456	622465	739603
457	623526	737884
458	624829	736454
459	626170	735069
460	627426	733585
461	628550	731948
462	629723	730370
463	630862	728755
464	632150	727312
465	633680	726148
466	634857	724580
467	636373	723398
468	637626	721918
469	638929	720494
470	640186	719020
471	641792	717937
472	643159	716585
